Column1,Column2,Column3
-1.56,41.07,0
-0.24,40.27,0
-0.66,38.11,1
1.38,44.73,0
-0.53,42.82,1
-0.67,54.89,1
0.17,55.48,0
-0.77,52.14,0
-1.57,46.07,0
-1.77,40.43,1
0.06,40.69,0
-0.23,39.99,0
-1.69,35.1,1
0.21,36.15,1
1.79,44.27,0
-1.71,39.06,0
-0.49,37.72,0
-1.51,33.88,0
-1.54,30.5,1
3.17,42.89,0
-0.83,40.78,1
2.67,49.37,0
-1.47,45.36,1
1.74,50.42,1
0.97,53.07,0
-0.36,51.93,1
0.49,53.37,1
0.67,65.02,1
1.55,68.21,1
0.7,69.59,0
-1.59,62.91,0
-0.07,62.63,1
1.21,65.49,0
-0.07,65.17,1
2,69.66,1
2.43,74.12,1
0.82,75.45,1
2.67,79.25,1
0.1,79.38,1
1.55,81.37,1
1.32,82.9,1
1.23,84.22,0
-2.68,71.17,0
-0.2,70.34,0
-0.34,68.82,1
1.61,71.87,0
-1.98,63.51,1
0.94,65.52,0
-3.87,52.53,0
-0.99,49.9,0
-5.46,38.59,1
5.89,50.83,0
-2.76,45.93,1
2.75,50.87,1
0.88,52.41,1
1.7,55.35,0
-0.76,53.72,0
-0.01,53.7,0
-3.78,45.98,0
-2.74,41.51,1
0.12,41.76,1
4.81,51.16,1
0.69,52.4,0
-0.65,51.06,1
2.64,55.91,1
1.67,58.76,1
0.01,58.77,0
-1.32,55.42,0
-0.99,53.02,0
1.1,54.49,1
0.05,54.61,0
-1.73,50.1,1
0.65,51.69,1
1.23,54.64,1
1.22,57.44,1
0.94,59.54,1
1.92,63.54,1
2.78,68.49,1
0.44,69.22,0
-0.32,67.99,0
-2.5,59.08,1
0.62,60.43,0
-0.28,59.47,0
-0.97,56.15,0
-0.56,54.28,0
-1.62,49.21,0
-2.37,43.01,0
-1.76,39.15,0
-0.56,38,1
1.54,42.93,0
-0.23,42.38,0
-2.01,37.84,1
5.14,51.8,1
2.95,57.95,1
0.47,58.88,1
1.55,61.88,1
