pp,Result
-0.0009727271943081888,1
0.007965935807451493,0
0.010498308324189317,0
0.020995668796005937,0
0.04449967219100746,0
0.020935161110149293,0
0.005656377847556627,1
0.012892321870978702,0
-0.0037236140630815,1
-0.003883228639693196,1
0.01608103607738472,0
-0.01536669021474224,1
-0.01945064436371048,0
-0.009294993480679378,0
-0.02101563781175302,0
-0.0042189028835829066,0
0.0065800185017708245,0
-0.0031947700273306126,0
0.012992691393920104,0
0.010352991214990786,0
-0.01977932920188865,0
0.0011355410807874207,0
-0.001722452748417001,0
-0.02018166778588937,0
-0.026888168191822936,1
-0.027671783219517892,0
-0.02804569770992853,0
-0.021687053876446656,0
-0.03558250722805537,0
-0.03603788297303233,0
-0.02059718594680713,0
-0.020503684863489233,0
-0.0181638657115213,0
-0.03369116143288063,0
0.0007482557457865603,0
-0.057114190703788315,0
-0.06250643641465974,0
-0.07176487339748944,1
-0.06419636672193704,0
-0.011486363921480927,0
-0.008863413484435317,0
-0.007893078103960768,0
-0.06112751071402668,0
-0.03790923212167028,0
-0.0673830727174231,0
-0.007394421688256187,0
-0.002778156311819516,1
0.0005251205882002786,1
-0.0009219903498917004,1
-0.05213374423366546,0
-0.0577889218549718,1
-0.05936823670488804,1
-0.0038432563731131105,1
-0.001673488634814434,1
-0.00419944578066708,1
-0.0005152969975671739,1
0.00034772177692207523,1
0.000307311442721894,1
0.0008035516229949646,1
-9.453682114083259e-06,1
0.05523320163588032,0
0.05876285611390817,0
0.06140143738680721,0
0.0370024376940911,0
0.04253704328702705,0
0.040882553494265346,0
0.04011292750734841,0
0.040136018177317385,0
0.039307436059472955,0
0.037720864867202206,0
-0.007955419326420446,0
-0.00018236833510888202,0
-0.0780861276426308,1
-0.035646527453703496,0
-0.05932538100051141,1
-0.024684909710161015,0
-0.023122600895697655,0
-0.04961713092989704,1
-0.05044071957019904,1
-0.05182403972260563,1
-0.055032421234787916,0
-0.06721293607200367,0
0.010242821282248678,0
-0.013123707889378935,0
0.008714144567033474,0
-0.026623834720757585,1
-0.026819850296101663,1
9.45959410456892e-05,1
0.002150846578018612,1
0.031818255999576966,1
-0.04018445032859486,1
-0.03268839341105971,1
-0.024603712927039403,0
-0.016048752591288882,1
-0.0035399400444322115,1
6.782802348899672e-05,1
0.00013860790045800887,1
0.0011792670076259729,1
0.026694435078647553,0
0.002404219721498679,0
0.044202324884023855,1
0.03712120590773508,1
-0.011451323239072142,1
0.03196750728559357,0
0.024159647285017162,0
0.018917697535376574,0
0.02666342026358961,0
0.025046602689670364,0
-0.005266913113135841,0
-0.006952589989113077,0
0.026461812667514472,0
0.0253546439782532,0
0.048236327794955125,1
-0.006024657902764019,1
-0.007483192159440005,1
-0.01083014074706406,1
