Column1,Column2,Column3,Column4,Column5
70.95,100.27,0.3,0.92,1.0
71.01,100.3,0.03,0.09,0.0
33.01,87.12,-3.6,-17.64,1.0
44.25,90.58,3.97,34.04,0.0
29.72,82.4,-3.31,-14.13,1.0
27.56,79.71,-4.26,-17.13,0.0
23.96,76.82,-3.63,-13.07,1.0
28.58,78.15,1.73,19.29,0.0
27.75,77.55,-0.77,-2.89,1.0
27.79,77.56,0.01,0.13,0.0
26.52,76.7,-1.11,-4.55,0.0
24.3,75.09,-2.1,-8.39,1.0
25.53,75.38,0.39,5.07,1.0
43.73,80.82,7.21,71.29,0.0
35.41,76.97,-6.44,-25.12,1.0
31.5,72.83,-3.76,-13.69,1.0
37.2,71.68,-3.57,-14.82,0.0
42.24,72.3,4.15,29.01,0.0
30.28,64.36,-12.36,-35.38,0.0
28.46,62.84,-2.36,-5.99,1.0
39.16,65.41,3.51,22.35,0.0
29.44,60.01,-2.42,-10.18,1.0
31.87,57.54,-5.5,-24.62,0.0
28.41,56.01,-2.67,-10.84,0.0
27.95,55.79,-0.39,-1.62,1.0
26.3,57.51,-2.65,-16.2,1.0
26.41,57.52,0.02,0.4,0.0
24.5,56.87,-1.13,-7.24,0.0
22.82,56.25,-1.08,-6.83,1.0
26.3,56.65,0.7,15.24,1.0
61.28,62.93,5.14,35.39,0.0
71.62,66.08,1.28,3.97,1.0
74.47,67.06,1.49,3.98,0.0
74.29,69.94,4.75,12.73,1.0
76.77,71.21,1.82,3.33,0.0
76.25,71.13,-0.12,-0.68,1.0
77.48,71.76,0.89,1.62,1.0
78.93,72.53,1.08,1.87,0.0
72.73,71.58,-1.31,-7.85,1.0
73.17,71.77,0.26,0.6,1.0
73.38,71.85,0.12,0.29,0.0
71.39,71.57,-0.39,-2.71,1.0
72.21,71.85,0.39,1.14,0.0
41.11,66.82,-5.44,-27.29,1.0
56.2,70.09,4.97,23.49,0.0
70.5,74.48,2.45,8.48,0.0
71.2,74.99,0.98,3.04,1.0
73.82,75.99,1.32,3.68,0.0
73.54,80.9,2.74,7.95,0.0
72.38,80.71,-0.23,-1.58,1.0
73.37,81.13,0.51,1.37,0.0
64.49,81.44,3.84,22.18,0.0
33.48,72.36,-7.99,-34.84,0.0
70.35,81.11,8.2,52.4,1.0
71.68,81.71,0.73,1.89,1.0
77.46,84.87,3.87,8.06,0.0
76.13,84.62,-0.3,-1.72,0.0
74.38,84.3,-0.38,-2.3,1.0
74.77,84.5,0.24,0.52,1.0
75.09,84.65,0.19,0.43,1.0
77.44,85.85,1.41,3.14,0.0
71.73,84.92,-1.09,-7.37,0.0
70.42,86.37,1.18,4.49,1.0
70.47,86.39,0.02,0.07,1.0
71.17,86.62,0.26,0.99,1.0
71.6,86.75,0.16,0.61,1.0
